Prompt_id,conversation_json,turn_1_user,turn_2_user,turn_3_user,active_instruction_ids_json,active_kwargs_json
11,"[{""role"": ""user"", ""content"": ""Are hamburgers sandwiches? Please respond using only the Kannada language, no other language is allowed.""}, {""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""ಹೀಗಾಗಿ, ಹ್ಯಾಂಬರ್ಗರ್‌ಗಳು ವಿಶೇಷ ರೀತಿಯ ಸ್ಯಾಂಡ್‌ವಿಚ್‌ಗಳು ಎಂದು ಪರಿಗಣಿಸಬಹುದು.\"" No other words should follow this phrase.""}, {""role"": ""user"", ""content"": ""The result should contain exactly 6 paragraphs. The paragraphs should be separated by the markdown divider: ***.""}]","Are hamburgers sandwiches? Please respond using only the Kannada language, no other language is allowed.","Your response should end with the exact phrase: ""ಹೀಗಾಗಿ, ಹ್ಯಾಂಬರ್ಗರ್‌ಗಳು ವಿಶೇಷ ರೀತಿಯ ಸ್ಯಾಂಡ್‌ವಿಚ್‌ಗಳು ಎಂದು ಪರಿಗಣಿಸಬಹುದು."" No other words should follow this phrase.",The result should contain exactly 6 paragraphs. The paragraphs should be separated by the markdown divider: ***.,"[""language:response_language"", ""startend:end_checker"", ""length_constraints:number_paragraphs""]","[{""language"": ""kn""}, {""end_phrase"": ""ಹೀಗಾಗಿ, ಹ್ಯಾಂಬರ್ಗರ್‌ಗಳು ವಿಶೇಷ ರೀತಿಯ ಸ್ಯಾಂಡ್‌ವಿಚ್‌ಗಳು ಎಂದು ಪರಿಗಣಿಸಬಹುದು.""}, {""num_paragraphs"": 6}]"
12,"[{""role"": ""user"", ""content"": ""make a tweet for playboy's twitter account without using capital letters. Include at least 4 hashtags, starting with '#'""}, {""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""discover more with us.\"" No other words should follow this phrase.""}, {""role"": ""user"", ""content"": ""Your result should contain at least 2 highlighted sections with markdown, for example: *highlighted section*.""}]","make a tweet for playboy's twitter account without using capital letters. Include at least 4 hashtags, starting with '#'","Your response should end with the exact phrase: ""discover more with us."" No other words should follow this phrase.","Your result should contain at least 2 highlighted sections with markdown, for example: *highlighted section*.","[""change_case:english_lowercase"", ""keywords:letter_frequency"", ""startend:end_checker"", ""detectable_format:number_highlighted_sections""]","[{}, {""let_relation"": ""at least"", ""letter"": ""#"", ""let_frequency"": 4}, {""end_phrase"": ""discover more with us.""}, {""num_highlights"": 2}]"
13,"[{""role"": ""user"", ""content"": ""Write a poem about how I am missing my classes. The poem must have 4 sections marked with SECTION X. Finish the poem with this exact phrase: \""Can I get my money back for the classes I missed?\""""}, {""role"": ""user"", ""content"": ""Make sure your entire response is in English, and in all capital letters.""}, {""role"": ""user"", ""content"": ""The text should contain at least 400 words.""}]","Write a poem about how I am missing my classes. The poem must have 4 sections marked with SECTION X. Finish the poem with this exact phrase: ""Can I get my money back for the classes I missed?""","Make sure your entire response is in English, and in all capital letters.",The text should contain at least 400 words.,"[""detectable_format:multiple_sections"", ""startend:end_checker"", ""change_case:english_capital"", ""length_constraints:number_words""]","[{""section_spliter"": ""SECTION"", ""num_sections"": 4}, {""end_phrase"": ""Can I get my money back for the classes I missed?""}, {}, {""relation"": ""at least"", ""num_words"": 400}]"
14,"[{""role"": ""user"", ""content"": ""Write a poem about how I am missing my classes. The poem must have 4 sections marked with SECTION X. Finish the poem with this exact phrase: \""Can I get my money back for the classes I missed?\""""}, {""role"": ""user"", ""content"": ""Make sure your entire response is in English, and in all capital letters.""}, {""role"": ""user"", ""content"": ""Your response should include the word university at least 2 times.""}]","Write a poem about how I am missing my classes. The poem must have 4 sections marked with SECTION X. Finish the poem with this exact phrase: ""Can I get my money back for the classes I missed?""","Make sure your entire response is in English, and in all capital letters.",Your response should include the word university at least 2 times.,"[""detectable_format:multiple_sections"", ""startend:end_checker"", ""change_case:english_capital"", ""keywords:frequency""]","[{""section_spliter"": ""SECTION"", ""num_sections"": 4}, {""end_phrase"": ""Can I get my money back for the classes I missed?""}, {}, {""relation"": ""at least"", ""keyword"": ""university"", ""frequency"": 2}]"
15,"[{""role"": ""user"", ""content"": ""Write a weird poem about yoda being transported into a different universe in the Persian language, no other language is allowed.""}, {""role"": ""user"", ""content"": ""Your response should have 6 paragraphs and the 2-th paragraph should start with the word کهکشان. The paragraphs should be separated by two new lines.""}, {""role"": ""user"", ""content"": ""Your response should include the following keywords: سفر, سحر, یادا.""}]","Write a weird poem about yoda being transported into a different universe in the Persian language, no other language is allowed.",Your response should have 6 paragraphs and the 2-th paragraph should start with the word کهکشان. The paragraphs should be separated by two new lines.,"Your response should include the following keywords: سفر, سحر, یادا.","[""language:response_language"", ""length_constraints:nth_paragraph_first_word"", ""keywords:existence""]","[{""language"": ""fa""}, {""first_word"": ""کهکشان"", ""num_paragraphs"": 6, ""nth_paragraph"": 2}, {""keywords"": [""سفر"", ""سحر"", ""یادا""]}]"
16,"[{""role"": ""user"", ""content"": ""Write a weird poem about yoda being transported into a different universe in the Persian language, no other language is allowed.""}, {""role"": ""user"", ""content"": ""The result should contain exactly 6 paragraphs. The paragraphs should be separated by the markdown divider: ***.""}, {""role"": ""user"", ""content"": ""Your response should include the following keywords: یادا, کهکشان, جدایی.""}]","Write a weird poem about yoda being transported into a different universe in the Persian language, no other language is allowed.",The result should contain exactly 6 paragraphs. The paragraphs should be separated by the markdown divider: ***.,"Your response should include the following keywords: یادا, کهکشان, جدایی.","[""language:response_language"", ""length_constraints:number_paragraphs"", ""keywords:existence""]","[{""language"": ""fa""}, {""num_paragraphs"": 6}, {""keywords"": [""یادا"", ""کهکشان"", ""جدایی""]}]"
17,"[{""role"": ""user"", ""content"": ""Write a five line poem about the time you had a binge watching episode. The poem should have a rhyme scheme of AABBA and include the word \""Netflix\"". Your entire response should be in English, and should not contain any capital letters.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}, {""role"": ""user"", ""content"": ""You should provide two responses. Separate your two responses with six asterisks (******)""}]","Write a five line poem about the time you had a binge watching episode. The poem should have a rhyme scheme of AABBA and include the word ""Netflix"". Your entire response should be in English, and should not contain any capital letters.","The result must contain a title wrapped in double angular brackets, i.e. <<title>>.",You should provide two responses. Separate your two responses with six asterisks (******),"[""change_case:english_lowercase"", ""keywords:existence"", ""detectable_format:title"", ""combination:two_responses""]","[{}, {""keywords"": [""netflix""]}, {}, {}]"
18,"[{""role"": ""user"", ""content"": ""Write a five line poem about the time you had a binge watching episode. The poem should have a rhyme scheme of AABBA and include the word \""Netflix\"". Your entire response should be in English, and should not contain any capital letters.""}, {""role"": ""user"", ""content"": ""There should be 3 sections highlighted with markdown, for example: *highlighted section*.""}, {""role"": ""user"", ""content"": ""Wrap your whole response with double quotation marks.""}]","Write a five line poem about the time you had a binge watching episode. The poem should have a rhyme scheme of AABBA and include the word ""Netflix"". Your entire response should be in English, and should not contain any capital letters.","There should be 3 sections highlighted with markdown, for example: *highlighted section*.",Wrap your whole response with double quotation marks.,"[""change_case:english_lowercase"", ""keywords:existence"", ""detectable_format:number_highlighted_sections"", ""startend:quotation""]","[{}, {""keywords"": [""netflix""]}, {""num_highlights"": 3}, {}]"
19,"[{""role"": ""user"", ""content"": ""Write an essay of at least 900 words on the topic of navigable freeway. Make sure the entire response is in English and no capital letters are used.""}, {""role"": ""user"", ""content"": ""The result should contain at least 7 sections, and each section should be separated by the word \""Day\"".""}, {""role"": ""user"", ""content"": ""Your response should include the following keywords: efficiency, transportation, design.""}]",Write an essay of at least 900 words on the topic of navigable freeway. Make sure the entire response is in English and no capital letters are used.,"The result should contain at least 7 sections, and each section should be separated by the word ""Day"".","Your response should include the following keywords: efficiency, transportation, design.","[""change_case:english_lowercase"", ""length_constraints:number_words"", ""detectable_format:multiple_sections"", ""keywords:existence""]","[{}, {""relation"": ""at least"", ""num_words"": 900}, {""section_spliter"": ""Day"", ""num_sections"": 7}, {""keywords"": [""efficiency"", ""transportation"", ""design""]}]"
20,"[{""role"": ""user"", ""content"": ""Write an essay of at least 900 words on the topic of navigable freeway. Make sure the entire response is in English and no capital letters are used.""}, {""role"": ""user"", ""content"": ""You should provide two responses. Separate your two responses with six asterisks (******)""}, {""role"": ""user"", ""content"": ""Your response should include the word vehicles at least 2 times.""}]",Write an essay of at least 900 words on the topic of navigable freeway. Make sure the entire response is in English and no capital letters are used.,You should provide two responses. Separate your two responses with six asterisks (******),Your response should include the word vehicles at least 2 times.,"[""change_case:english_lowercase"", ""length_constraints:number_words"", ""combination:two_responses"", ""keywords:frequency""]","[{}, {""relation"": ""at least"", ""num_words"": 900}, {}, {""relation"": ""at least"", ""keyword"": ""vehicles"", ""frequency"": 2}]"
21,"[{""role"": ""user"", ""content"": ""Write a cover letter for a job application as a tour guide in Beijing in all lowercase letters, with no capitalizations. Make it short -- the entire output should have less than 5 sentences.""}, {""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""looking forward to your positive response.\"" No other words should follow this phrase.""}, {""role"": ""user"", ""content"": ""Your response should include the following keywords: team, enthusiastic, knowledgeable.""}]","Write a cover letter for a job application as a tour guide in Beijing in all lowercase letters, with no capitalizations. Make it short -- the entire output should have less than 5 sentences.","Your response should end with the exact phrase: ""looking forward to your positive response."" No other words should follow this phrase.","Your response should include the following keywords: team, enthusiastic, knowledgeable.","[""change_case:english_lowercase"", ""length_constraints:number_sentences"", ""startend:end_checker"", ""keywords:existence""]","[{}, {""relation"": ""less than"", ""num_sentences"": 5}, {""end_phrase"": ""looking forward to your positive response.""}, {""keywords"": [""team"", ""enthusiastic"", ""knowledgeable""]}]"
22,"[{""role"": ""user"", ""content"": ""Write a cover letter for a job application as a tour guide in Beijing in all lowercase letters, with no capitalizations. Make it short -- the entire output should have less than 5 sentences.""}, {""role"": ""user"", ""content"": ""The result must contain a title wrapped in double angular brackets, i.e. <<title>>.""}, {""role"": ""user"", ""content"": ""Your response should contain a postscript with the marker \""P.P.S\"".""}]","Write a cover letter for a job application as a tour guide in Beijing in all lowercase letters, with no capitalizations. Make it short -- the entire output should have less than 5 sentences.","The result must contain a title wrapped in double angular brackets, i.e. <<title>>.","Your response should contain a postscript with the marker ""P.P.S"".","[""change_case:english_lowercase"", ""length_constraints:number_sentences"", ""detectable_format:title"", ""detectable_content:postscript""]","[{}, {""relation"": ""less than"", ""num_sentences"": 5}, {}, {""postscript_marker"": ""P.P.S""}]"
23,"[{""role"": ""user"", ""content"": ""Could you tell me what kind of balls are used in tennis? I would like the answer in the form of a medieval style poem with a P.P.S at the end.""}, {""role"": ""user"", ""content"": ""There should be 1 section highlighted with markdown, example: *highlighted section*.""}, {""role"": ""user"", ""content"": ""Your response should include the word court at least 6 times.""}]",Could you tell me what kind of balls are used in tennis? I would like the answer in the form of a medieval style poem with a P.P.S at the end.,"There should be 1 section highlighted with markdown, example: *highlighted section*.",Your response should include the word court at least 6 times.,"[""detectable_content:postscript"", ""detectable_format:number_highlighted_sections"", ""keywords:frequency""]","[{""postscript_marker"": ""P.P.S""}, {""num_highlights"": 1}, {""relation"": ""at least"", ""keyword"": ""court"", ""frequency"": 6}]"
24,"[{""role"": ""user"", ""content"": ""Could you tell me what kind of balls are used in tennis? I would like the answer in the form of a medieval style poem with a P.P.S at the end.""}, {""role"": ""user"", ""content"": ""Your response should include the following keywords: serve, realm, tournament.""}, {""role"": ""user"", ""content"": ""Your result must be entirely in lowercase English.""}]",Could you tell me what kind of balls are used in tennis? I would like the answer in the form of a medieval style poem with a P.P.S at the end.,"Your response should include the following keywords: serve, realm, tournament.",Your result must be entirely in lowercase English.,"[""detectable_content:postscript"", ""keywords:existence"", ""change_case:english_lowercase""]","[{""postscript_marker"": ""P.P.S""}, {""keywords"": [""serve"", ""realm"", ""tournament""]}, {}]"
25,"[{""role"": ""user"", ""content"": ""Write a song about regrets in the style of Taylor Swift. Please include explanations for the lyrics you write. Make sure your entire response is in English, and in all capital letters.""}, {""role"": ""user"", ""content"": ""The output should contain exactly 3 paragraphs. The paragraphs should be separated by the markdown divider: ***.""}, {""role"": ""user"", ""content"": ""Your response should include the word lonely at least 2 times.""}]","Write a song about regrets in the style of Taylor Swift. Please include explanations for the lyrics you write. Make sure your entire response is in English, and in all capital letters.",The output should contain exactly 3 paragraphs. The paragraphs should be separated by the markdown divider: ***.,Your response should include the word lonely at least 2 times.,"[""change_case:english_capital"", ""length_constraints:number_paragraphs"", ""keywords:frequency""]","[{}, {""num_paragraphs"": 3}, {""relation"": ""at least"", ""keyword"": ""lonely"", ""frequency"": 2}]"
26,"[{""role"": ""user"", ""content"": ""Write a song about regrets in the style of Taylor Swift. Please include explanations for the lyrics you write. Make sure your entire response is in English, and in all capital letters.""}, {""role"": ""user"", ""content"": ""Wrap your whole response with double quotation marks.""}, {""role"": ""user"", ""content"": ""The text should contain exactly 4 paragraphs. The paragraphs should be separated by the markdown divider: ***.""}]","Write a song about regrets in the style of Taylor Swift. Please include explanations for the lyrics you write. Make sure your entire response is in English, and in all capital letters.",Wrap your whole response with double quotation marks.,The text should contain exactly 4 paragraphs. The paragraphs should be separated by the markdown divider: ***.,"[""change_case:english_capital"", ""startend:quotation"", ""length_constraints:number_paragraphs""]","[{}, {}, {""num_paragraphs"": 4}]"
27,"[{""role"": ""user"", ""content"": ""Compose a poem that has the word \""land\"" and \""river\"". It should be about nature and love. Also, the word \""forest\"" should appear at least 3 times, and be written in English, with all letters lowercased.""}, {""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""where our hearts freely roam.\"" No other words should follow this phrase.""}, {""role"": ""user"", ""content"": ""You should provide two responses. Separate your two responses with six asterisks (******)""}]","Compose a poem that has the word ""land"" and ""river"". It should be about nature and love. Also, the word ""forest"" should appear at least 3 times, and be written in English, with all letters lowercased.","Your response should end with the exact phrase: ""where our hearts freely roam."" No other words should follow this phrase.",You should provide two responses. Separate your two responses with six asterisks (******),"[""keywords:frequency"", ""change_case:english_lowercase"", ""keywords:existence"", ""startend:end_checker"", ""combination:two_responses""]","[{""relation"": ""at least"", ""keyword"": ""forest"", ""frequency"": 3}, {}, {""keywords"": [""land"", ""river""]}, {""end_phrase"": ""where our hearts freely roam.""}, {}]"
28,"[{""role"": ""user"", ""content"": ""Compose a poem that has the word \""land\"" and \""river\"". It should be about nature and love. Also, the word \""forest\"" should appear at least 3 times, and be written in English, with all letters lowercased.""}, {""role"": ""user"", ""content"": ""You should provide two responses. Separate your two responses with six asterisks (******)""}, {""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""where our hearts freely roam.\"" No other words should follow this phrase.""}]","Compose a poem that has the word ""land"" and ""river"". It should be about nature and love. Also, the word ""forest"" should appear at least 3 times, and be written in English, with all letters lowercased.",You should provide two responses. Separate your two responses with six asterisks (******),"Your response should end with the exact phrase: ""where our hearts freely roam."" No other words should follow this phrase.","[""keywords:frequency"", ""change_case:english_lowercase"", ""keywords:existence"", ""combination:two_responses"", ""startend:end_checker""]","[{""relation"": ""at least"", ""keyword"": ""forest"", ""frequency"": 3}, {}, {""keywords"": [""land"", ""river""]}, {}, {""end_phrase"": ""where our hearts freely roam.""}]"
29,"[{""role"": ""user"", ""content"": ""Criticize this sentence in a funny way: \""Nhiệm vụ của mẹ là nuôi dạy con cái.\""\n\nProvide exactly two critiques separated by ******. Each response should be entirely in Vietnamese, no other language is allowed, and should not contain commas.""}, {""role"": ""user"", ""content"": ""Your response should include the following keywords: hước, gia, chung.""}, {""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""thế giới sẽ như thế nào nhỉ?\"" No other words should follow this phrase.""}]","Criticize this sentence in a funny way: ""Nhiệm vụ của mẹ là nuôi dạy con cái.""

Provide exactly two critiques separated by ******. Each response should be entirely in Vietnamese, no other language is allowed, and should not contain commas.","Your response should include the following keywords: hước, gia, chung.","Your response should end with the exact phrase: ""thế giới sẽ như thế nào nhỉ?"" No other words should follow this phrase.","[""combination:two_responses"", ""language:response_language"", ""punctuation:no_comma"", ""keywords:existence"", ""startend:end_checker""]","[{}, {""language"": ""vi""}, {}, {""keywords"": [""hước"", ""gia"", ""chung""]}, {""end_phrase"": ""thế giới sẽ như thế nào nhỉ?""}]"
30,"[{""role"": ""user"", ""content"": ""Criticize this sentence in a funny way: \""Nhiệm vụ của mẹ là nuôi dạy con cái.\""\n\nProvide exactly two critiques separated by ******. Each response should be entirely in Vietnamese, no other language is allowed, and should not contain commas.""}, {""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""thế giới sẽ như thế nào nhỉ?\"" No other words should follow this phrase.""}, {""role"": ""user"", ""content"": ""Your response should include the following keywords: cha, gia, nhiệm.""}]","Criticize this sentence in a funny way: ""Nhiệm vụ của mẹ là nuôi dạy con cái.""

Provide exactly two critiques separated by ******. Each response should be entirely in Vietnamese, no other language is allowed, and should not contain commas.","Your response should end with the exact phrase: ""thế giới sẽ như thế nào nhỉ?"" No other words should follow this phrase.","Your response should include the following keywords: cha, gia, nhiệm.","[""combination:two_responses"", ""language:response_language"", ""punctuation:no_comma"", ""startend:end_checker"", ""keywords:existence""]","[{}, {""language"": ""vi""}, {}, {""end_phrase"": ""thế giới sẽ như thế nào nhỉ?""}, {""keywords"": [""cha"", ""gia"", ""nhiệm""]}]"
31,"[{""role"": ""user"", ""content"": ""Summarize the following paragraph. Use words in all capital letters at least 3 times to highlight key points.\n\nHow to get to 100% renewable energy in the US? Two researchers from Stanford University and the University of California, Berkeley studied the potential for solar and wind energy to power the US grid. They concluded that it is possible to get to 100% renewable energy by 2050 by building more solar and wind farms. The authors also pointed out that such a system would be less vulnerable to disruptions than the current grid, which is reliant on a few large power plants. The authors' plan would also create jobs and reduce pollution.""}, {""role"": ""user"", ""content"": ""Your response should end with the exact phrase: \""this strategy proves not only feasible but essential for a sustainable future.\"" No other words should follow this phrase.""}, {""role"": ""user"", ""content"": ""You should provide two responses. Separate your two responses with six asterisks (******)""}]","Summarize the following paragraph. Use words in all capital letters at least 3 times to highlight key points.

How to get to 100% renewable energy in the US? Two researchers from Stanford University and the University of California, Berkeley studied the potential for solar and wind energy to power the US grid. They concluded that it is possible to get to 100% renewable energy by 2050 by building more solar and wind farms. The authors also pointed out that such a system would be less vulnerable to disruptions than the current grid, which is reliant on a few large power plants. The authors' plan would also create jobs and reduce pollution.","Your response should end with the exact phrase: ""this strategy proves not only feasible but essential for a sustainable future."" No other words should follow this phrase.",You should provide two responses. Separate your two responses with six asterisks (******),"[""change_case:capital_word_frequency"", ""startend:end_checker"", ""combination:two_responses""]","[{""capital_relation"": ""at least"", ""capital_frequency"": 3}, {""end_phrase"": ""this strategy proves not only feasible but essential for a sustainable future.""}, {}]"
32,"[{""role"": ""user"", ""content"": ""Summarize the following paragraph. Use words in all capital letters at least 3 times to highlight key points.\n\nHow to get to 100% renewable energy in the US? Two researchers from Stanford University and the University of California, Berkeley studied the potential for solar and wind energy to power the US grid. They concluded that it is possible to get to 100% renewable energy by 2050 by building more solar and wind farms. The authors also pointed out that such a system would be less vulnerable to disruptions than the current grid, which is reliant on a few large power plants. The authors' plan would also create jobs and reduce pollution.""}, {""role"": ""user"", ""content"": ""The response must contain at least 4 sentences.""}, {""role"": ""user"", ""content"": ""Your response should include the following keywords: strategy, feasible, viability.""}]","Summarize the following paragraph. Use words in all capital letters at least 3 times to highlight key points.

How to get to 100% renewable energy in the US? Two researchers from Stanford University and the University of California, Berkeley studied the potential for solar and wind energy to power the US grid. They concluded that it is possible to get to 100% renewable energy by 2050 by building more solar and wind farms. The authors also pointed out that such a system would be less vulnerable to disruptions than the current grid, which is reliant on a few large power plants. The authors' plan would also create jobs and reduce pollution.",The response must contain at least 4 sentences.,"Your response should include the following keywords: strategy, feasible, viability.","[""change_case:capital_word_frequency"", ""length_constraints:number_sentences"", ""keywords:existence""]","[{""capital_relation"": ""at least"", ""capital_frequency"": 3}, {""relation"": ""at least"", ""num_sentences"": 4}, {""keywords"": [""strategy"", ""feasible"", ""viability""]}]"
